Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
6/1/2013,14.4,27.4,15.9,200,21.5,0,346,24.1,57.2
6/2/2013,7.7,26.6,15.9,193.8,22.8,0.358,315.7,41,60.9
6/3/2013,6.3,22.3,13.2,219.5,21.9,28.497,130.2,89.5,79.4
6/4/2013,1.3,19.4,16,325.4,26.6,0,363.8,29.5,40.2
6/5/2013,6.1,18.7,16,89.8,19.6,0,329.2,44.7,44.5
6/6/2013,5.9,18.2,15.2,133.7,23.4,1.316,218.6,69.3,69.3
6/7/2013,-0.6,16.4,6,64.3,33.6,88.028,73.1,99.7,91.6
6/8/2013,4,19.8,13.7,312.8,25.8,23.774,278.2,86.7,73.1
6/9/2013,11.8,22.5,16,262.2,16.2,0,335.5,47.4,59.5
6/10/2013,8.6,19,8.9,85,22.3,27.024,102.9,91.5,86.3
6/11/2013,4.6,22.3,12.4,272.9,37.9,9.481,297.6,85.5,73.2
6/12/2013,2.1,21.6,15.9,309.8,38.1,0,358.2,38.4,52
6/13/2013,6.6,18.4,13.7,93.6,36.2,21.896,135.8,87.9,72.7
6/14/2013,6.5,16.7,14.8,355.4,34,11.193,281,77.4,70.1
6/15/2013,11.4,22,16,308.5,16.5,0,347.7,24.8,50.4
6/16/2013,15.2,23.5,15.9,238.2,29.5,0,257.6,51.2,50.7
6/17/2013,13.6,24.9,15.7,226.2,20.1,0.079,240.9,48.3,61.9
6/18/2013,11.3,21.9,14,61.4,17.7,5.852,121.4,62.1,76.5
6/19/2013,4.3,20.3,15.5,25,20.3,0.22,351.2,47.6,57.1
6/20/2013,8.3,21.5,16,199,22.5,0,355.2,17.1,51.2
6/22/2013,11.1,22.8,16,193.9,25.8,0,344.7,45.1,49.4
6/23/2013,11.8,25.3,16,199.1,25.8,0,329.5,50.7,63
6/24/2013,12.8,27.9,15.6,243.2,20.1,0,226.1,39.8,62.1
6/25/2013,19,28.1,15.3,246.9,24.7,0,329.7,42.3,55.2
6/26/2013,12.8,27.2,15.6,265.1,23.2,0.693,279.8,57.4,59.1
6/27/2013,15.1,25.4,14.5,111.1,22.6,5.39,266.6,71.1,73.6
6/28/2013,8,25.9,15.3,213.1,20.8,0.277,306.3,75.9,69.9
6/29/2013,14.6,25.1,15.2,189.1,24.4,0,301.1,52.9,68.6
6/30/2013,15.5,25,13.6,161.3,23.4,0,133.4,68.8,79.5
7/1/2013,7.8,23.6,14,159.8,18.2,20.806,140.7,95.4,87.5
