Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
2013-06-01,11.1,27.4,15.8,211.2,26.6,0.0,349.1,22.8,58.1
2013-06-02,7.3,26.8,15.9,202.3,25.7,0.096,324.2,36.2,61.2
2013-06-03,2.6,22.1,12.3,214.2,18.6,38.504,151.8,88.7,82.6
2013-06-04,2.5,19.4,16.0,322.2,24.0,0.0,365.2,30.1,40.3
2013-06-05,4.0,18.5,16.0,85.3,21.6,0.0,344.4,35.9,45.4
2013-06-06,4.0,17.9,14.5,132.9,21.1,1.638,278.7,65.0,72.3
2013-06-07,-1.8,16.4,5.7,68.4,29.4,93.103,88.5,99.9,92.9
2013-06-08,2.8,19.7,13.9,312.2,25.8,20.209,272.2,86.6,74.9
2013-06-09,8.4,22.5,16.0,276.0,14.9,0.0,310.7,38.8,59.9
2013-06-10,6.6,19.3,8.1,91.1,19.8,26.632,128.1,90.3,86.4
2013-06-11,5.1,22.4,12.1,267.0,38.1,7.705,307.9,84.1,74.2
2013-06-12,2.1,21.8,15.8,310.9,35.1,0.0,356.2,37.2,51.9
2013-06-13,3.4,18.3,13.2,92.8,34.6,24.262,170.3,87.6,74.8
2013-06-14,5.1,16.5,14.6,356.6,31.2,12.262,266.2,73.1,73.3
2013-06-15,11.7,21.8,16.0,298.6,16.0,0.0,346.6,22.8,51.6
2013-06-16,13.0,23.2,15.8,242.1,29.5,0.0,261.2,47.6,53.1
2013-06-17,13.4,24.6,15.4,239.7,20.5,0.787,213.0,44.5,64.4
2013-06-18,10.4,21.9,12.9,49.3,16.3,4.384,100.0,55.3,76.9
2013-06-19,5.0,20.2,15.5,22.6,18.5,0.29,335.0,43.4,58.8
2013-06-20,6.2,21.3,16.0,199.7,18.8,0.0,360.8,14.3,52.8
2013-06-21,7.4,22.4,16.0,201.3,20.7,0.0,355.6,20.3,47.3
2013-06-22,7.8,22.7,16.0,198.0,23.3,0.0,352.3,38.1,51.5
2013-06-23,6.9,25.1,15.9,206.7,26.3,0.0,284.0,43.7,64.6
2013-06-24,11.8,27.6,15.1,250.0,18.8,0.0,216.3,36.5,63.8
2013-06-25,16.7,27.8,14.6,249.8,20.1,0.124,334.9,35.8,57.4
2013-06-26,10.5,26.6,15.2,267.1,19.5,1.137,297.3,50.6,62.7
2013-06-27,11.8,25.4,13.3,106.9,24.8,5.578,264.5,68.4,74.8
2014-06-01,3.9,18.8,16.0,194.0,15.6,0.029,365.5,28.4,40.9
2014-06-02,7.2,21.6,16.0,215.5,15.6,0.0,361.6,10.4,43.4
2014-06-03,11.9,23.7,14.5,200.1,18.6,5.579,340.3,31.2,61.3
2014-06-04,11.1,21.6,12.8,58.7,19.8,0.0,292.2,58.7,72.2
2014-06-05,1.3,20.0,11.6,11.5,19.8,19.53,215.3,83.6,72.5
2014-06-06,1.3,19.9,16.0,316.2,18.1,0.0,352.0,61.7,49.5
2014-06-07,3.4,22.2,16.0,329.2,16.6,0.0,359.2,16.2,49.3
2014-06-08,6.3,24.1,16.0,185.9,22.3,0.0,322.2,30.4,48.4
2014-06-09,7.4,19.1,8.4,89.1,13.2,38.652,160.2,95.0,82.1
2014-06-10,7.2,21.0,9.9,54.5,13.0,0.0,214.3,88.8,83.6
2014-06-11,2.2,18.7,14.9,66.9,20.6,0.687,251.2,97.1,78.5
2014-06-12,5.7,18.4,10.0,70.8,14.2,0.348,201.4,100.0,86.4
2014-06-13,2.5,20.4,7.4,71.8,13.1,34.188,190.2,86.9,89.1
