Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
2013-06-01,14.0,27.4,15.8,212.4,24.3,0.0,349.1,18.4,58.3
2013-06-02,9.5,26.7,15.9,203.6,25.8,0.078,324.2,32.6,61.4
2013-06-03,6.0,22.0,11.9,213.6,17.8,39.568,151.8,88.1,83.4
2013-06-05,3.3,18.5,16.0,86.0,21.6,0.0,344.4,28.7,45.6
2013-06-06,5.6,17.9,14.3,134.0,21.0,1.635,278.7,61.2,72.6
2013-06-07,-0.2,16.3,5.5,69.6,27.9,94.123,88.5,99.9,93.2
2013-06-08,4.1,19.6,13.8,312.6,24.7,20.57,272.2,86.5,75.5
2013-06-09,12.9,22.4,16.0,277.0,15.0,0.0,310.7,33.3,60.3
2013-06-10,11.6,19.3,7.8,91.7,19.1,27.27,128.1,89.0,86.5
2013-06-11,7.7,22.2,11.9,267.6,38.0,7.588,307.9,83.6,74.7
2013-06-13,4.5,18.2,13.0,93.8,32.9,24.876,170.3,86.7,75.4
2013-06-15,9.0,21.8,16.0,298.4,16.1,0.0,346.6,20.3,51.9
2013-06-16,13.7,23.1,15.8,242.7,29.5,0.0,261.2,42.9,53.6
2013-06-17,16.3,24.5,15.3,241.9,20.5,0.703,213.0,39.8,65.0
2013-06-18,10.7,21.9,12.4,49.9,15.7,4.417,100.0,50.7,77.1
2013-06-19,3.2,20.2,15.5,22.6,17.4,0.345,335.0,39.7,59.3
2013-06-20,7.0,21.3,16.0,200.8,17.6,0.0,360.8,12.5,53.2
2013-06-21,9.6,22.3,16.0,202.4,20.7,0.0,355.6,16.2,47.8
2013-06-22,8.8,22.7,16.0,199.7,23.2,0.0,352.3,30.6,51.8
2013-06-23,10.0,25.1,15.9,207.4,26.2,0.0,284.0,39.1,64.9
2013-06-24,14.4,27.5,14.9,250.9,17.7,0.0,216.3,30.7,64.2
2013-06-25,16.9,27.7,14.3,250.4,19.3,0.104,334.9,30.3,57.7
2013-06-26,11.1,26.4,15.0,268.4,18.2,1.173,297.3,44.0,63.4
2013-06-27,12.7,25.4,13.0,108.5,24.9,5.642,264.5,64.9,75.0
2013-06-28,7.8,25.7,14.6,220.4,21.5,0.185,316.6,68.3,73.0
2013-06-29,11.5,24.9,14.5,190.2,23.7,0.0,265.0,44.9,70.2
2013-06-30,11.3,24.9,12.8,160.7,20.3,0.0,146.9,58.3,81.7
2013-07-01,6.2,23.5,12.5,157.4,16.9,21.717,138.2,94.3,89.6
2013-07-02,8.6,24.6,13.8,173.6,13.7,1.734,220.6,82.3,85.5
2013-07-03,9.5,25.0,14.0,210.8,17.6,17.991,240.9,52.6,83.2
2013-07-04,9.5,27.4,14.7,221.2,22.0,0.0,347.5,56.9,74.7
2013-07-05,9.2,28.5,15.4,222.6,18.1,0.0,348.6,20.0,66.8
2013-07-06,9.4,29.9,15.8,255.7,17.1,0.0,335.0,20.4,60.2
2013-07-07,7.7,30.1,16.0,244.1,24.5,0.0,341.8,31.2,59.4
2013-07-08,8.5,27.2,15.1,255.9,17.6,3.454,236.0,42.9,60.7
2013-07-09,16.1,26.8,13.0,241.6,15.8,3.917,268.7,42.8,64.0
2013-07-10,16.1,27.2,12.5,226.0,25.0,0.113,266.1,67.0,71.1
2013-07-11,8.8,27.0,14.9,295.2,17.3,0.0,113.1,59.9,64.6
2013-07-12,4.6,23.3,13.5,55.7,27.2,4.119,130.9,79.4,71.4
2013-07-13,5.9,22.9,9.4,59.0,19.2,5.441,232.4,94.9,88.3
2013-07-14,12.2,27.7,13.3,263.1,14.4,0.185,338.3,59.9,70.6
2013-07-15,11.8,30.0,15.5,314.5,14.7,0.0,317.7,35.3,59.5
2013-07-16,10.7,30.2,15.3,9.0,21.0,0.0,333.0,22.4,50.3
2013-07-17,15.2,30.4,14.5,75.2,12.2,0.0,326.1,29.7,53.2
2013-07-18,14.7,31.9,14.1,281.9,18.2,0.0,182.8,14.9,52.0
2013-07-19,27.3,32.2,12.1,234.9,30.3,0.0,157.4,28.4,57.2
2013-07-20,16.7,30.1,12.8,243.1,27.0,0.361,164.0,43.3,58.4
2013-07-21,4.8,27.5,15.7,57.5,16.1,0.0,261.3,51.0,56.5
2013-07-22,10.8,25.6,11.5,78.0,15.8,2.556,148.1,81.1,78.9
