Date,PM2.5_Manhattan,PM2.5_Queens,PM2.5_Staten_Island,PM2.5_Brooklyn,PM2.5_Bronx,Avgs,,,,
6/1/2013,14,9.4,8.6,11.1,14.4,6.805446406,,,,
6/2/2013,9.5,7.3,5.4,7.3,7.7,6.805446406,,,,
6/3/2013,6,2.6,5,2.6,6.3,6.805446406,,,,
6/4/2013,,2.7,1.7,2.5,1.3,6.805446406,,,,
6/5/2013,3.3,3.2,3.3,4,6.1,6.805446406,,,,
6/6/2013,5.6,4.9,4.3,4,5.9,6.805446406,,,,
6/7/2013,-0.2,-0.4,,-1.8,-0.6,6.805446406,,,,
6/8/2013,4.1,4.6,3,2.8,4,6.805446406,,,,
6/9/2013,12.9,10.4,8.7,8.4,11.8,6.805446406,,,,
6/10/2013,11.6,8,7.5,6.6,8.6,6.805446406,,,,
6/11/2013,7.7,6.2,3.6,5.1,4.6,6.805446406,,,,
6/12/2013,,2.8,,2.1,2.1,6.805446406,,,,
6/13/2013,4.5,3.8,3.1,3.4,6.6,6.805446406,,,,
6/14/2013,,5.8,4.1,5.1,6.5,6.805446406,,,,
6/15/2013,9,12.3,8.4,11.7,11.4,6.805446406,,,,
6/16/2013,13.7,11.6,10.3,13,15.2,6.805446406,,,,
6/17/2013,16.3,13.1,9.8,13.4,13.6,6.805446406,,,,
6/18/2013,10.7,10,10.8,10.4,11.3,6.805446406,,,,
6/19/2013,3.2,4.7,4.2,5,4.3,6.805446406,,,,
6/20/2013,7,6.2,5.1,6.2,8.3,6.805446406,,,,
6/21/2013,9.6,7.4,6.2,7.4,,6.805446406,,,,
6/22/2013,8.8,6.3,6.4,7.8,11.1,6.805446406,,,,
6/23/2013,10,7.4,6.4,6.9,11.8,6.805446406,,,,
6/24/2013,14.4,12.8,7.9,11.8,12.8,6.805446406,,,,
6/25/2013,16.9,17.3,12.6,16.7,19,6.805446406,,,,
6/26/2013,11.1,11.2,7.3,10.5,12.8,6.805446406,,,,
6/27/2013,12.7,11.4,9.2,11.8,15.1,6.805446406,,,,
6/28/2013,7.8,6.9,3.7,,8,6.805446406,,,,
6/29/2013,11.5,10.1,7.4,,14.6,6.805446406,,,,
6/30/2013,11.3,8,7.3,,15.5,6.805446406,,,,
7/1/2013,6.2,3.6,,,7.8,6.805446406,,,,
7/2/2013,8.6,6.6,2.4,,10.8,6.805446406,,,,
7/3/2013,9.5,6,4.7,,11.6,6.805446406,,,,
7/4/2013,9.5,6.9,5.1,,9.5,6.805446406,,,,
7/5/2013,9.2,7,5.6,,9.8,6.805446406,,,,
7/6/2013,9.4,8.5,7,,10.4,6.805446406,,,,
7/7/2013,7.7,4.9,6.1,,7.8,6.805446406,,,,
7/8/2013,8.5,7.9,6.7,,9.9,6.805446406,,,,
7/9/2013,16.1,17.6,14.7,,18.2,6.805446406,,,,
7/10/2013,16.1,14.1,12,,20.6,6.805446406,,,,
7/11/2013,8.8,8.4,9.5,,9.9,6.805446406,,,,
7/12/2013,4.6,5.7,5.6,,7.8,6.805446406,,,,
7/13/2013,5.9,5.1,,,6.8,6.805446406,,,,
7/14/2013,12.2,10.1,3.9,,11.1,6.805446406,,,,
7/15/2013,11.8,11.7,,,12.8,6.805446406,,,,
7/16/2013,10.7,9.6,,,10.3,6.805446406,,,,
7/17/2013,15.2,16.1,,,16.7,6.805446406,,,,
7/18/2013,14.7,19.4,,,17.4,6.805446406,,,,
7/19/2013,27.3,26.8,,,29.8,6.805446406,,,,
7/20/2013,16.7,15.9,,,19.3,6.805446406,,,,
7/21/2013,4.8,9.2,,,12,6.805446406,,,,
7/22/2013,10.8,10,,,12.2,6.805446406,,,,
7/23/2013,4.8,6.5,,,6.3,6.805446406,,,,
7/24/2013,3,6.2,,,2.9,6.805446406,,,,
7/25/2013,0.7,1.9,,,3.3,6.805446406,,,,
7/26/2013,4.6,6.8,,,1.6,6.805446406,,,,
7/27/2013,8.7,7.2,,,,6.805446406,,,,
7/28/2013,6.2,4.9,,,,6.805446406,,,,
7/29/2013,6.6,6,,,6.8,6.805446406,,,,
