Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
2013-06-01,9.4,13.9,23.3,32.9,27.6,4.762,236.9,90.9,76.7
2013-06-02,7.3,14.0,18.7,211.7,22.1,0.022,206.5,85.4,88.6
2013-06-03,2.6,17.7,22.1,207.0,27.5,1.978,221.5,80.6,88.7
2013-06-04,2.7,15.4,20.3,239.2,30.8,1.779,249.8,73.9,78.0
2013-06-05,3.2,11.8,24.0,308.3,25.8,0.0,322.5,27.6,63.5
2013-06-06,4.9,12.1,24.0,240.0,20.3,0.0,320.4,63.2,55.5
2013-06-07,-0.4,14.6,24.0,179.2,27.0,0.0,235.5,91.3,61.9
2013-06-08,4.6,10.7,11.4,102.7,38.6,38.148,95.0,99.9,88.6
2013-06-09,10.4,9.4,15.2,4.7,27.5,0.672,165.2,95.2,90.6
2013-06-10,8.0,13.8,24.0,231.9,21.6,0.023,351.6,77.6,76.4
2013-06-11,6.2,16.0,24.0,211.6,22.0,0.879,141.9,81.0,73.3
2013-06-12,2.8,12.8,20.7,68.3,24.0,5.684,112.0,100.0,89.9
2013-06-13,3.8,10.0,22.3,26.2,44.1,6.592,91.3,93.6,86.1
2013-06-14,5.8,10.9,24.0,53.8,11.2,0.345,168.4,95.0,87.0
2013-06-15,12.3,14.0,14.0,247.4,20.4,0.0,353.0,51.6,76.5
2013-06-16,11.6,15.2,24.0,264.0,22.0,0.0,317.7,63.8,54.7
2013-06-17,13.1,15.6,23.5,155.9,16.4,1.515,247.1,84.0,82.6
2013-06-18,10.0,17.7,24.0,242.5,32.7,0.173,298.5,68.7,70.6
2013-06-19,4.7,13.7,24.0,346.6,20.3,0.368,324.0,61.1,77.4
2013-06-20,6.2,16.9,24.0,242.2,20.2,0.0,361.1,28.5,58.0
2013-06-21,7.4,17.2,24.0,222.4,24.0,2.14,302.9,82.8,68.6
2013-06-22,6.3,17.9,24.0,230.8,23.9,0.0,288.2,50.7,66.1
2013-06-23,7.4,19.9,22.7,233.8,22.1,0.838,294.4,70.2,75.0
2013-06-24,12.8,19.5,18.4,222.0,18.2,6.975,301.5,89.1,87.0
2013-06-25,17.3,21.5,22.5,278.9,20.0,0.0,246.8,90.4,81.6
2013-06-26,11.2,13.4,14.1,12.5,29.1,0.009,135.9,99.0,92.2
2013-06-27,11.4,12.8,16.9,18.8,23.6,1.067,228.4,99.0,92.8
2013-06-28,6.9,13.0,20.6,87.1,22.3,7.163,128.1,99.3,93.4
2013-06-29,10.1,19.4,24.0,169.0,34.6,5.961,218.5,98.5,91.7
2013-06-30,8.0,20.4,24.0,202.1,31.1,4.782,207.8,94.6,88.7
2013-07-01,3.6,20.6,24.0,235.0,22.1,0.016,261.9,95.1,88.6
2013-07-02,6.6,16.7,24.0,30.9,20.8,0.001,155.2,94.4,67.1
2013-07-03,6.0,17.7,20.8,192.2,14.8,0.344,236.1,90.7,81.6
2013-07-04,6.9,23.1,20.7,248.5,22.4,0.0,331.1,67.9,73.9
2013-07-05,7.0,25.5,24.0,244.7,23.5,0.0,325.5,62.5,69.0
2013-07-06,8.5,25.1,23.9,249.4,20.5,0.0,264.5,55.0,69.5
2013-07-07,4.9,23.1,22.1,292.9,18.3,13.647,307.1,52.6,75.0
2013-07-08,7.9,17.7,23.5,14.3,18.0,0.0,242.0,84.9,73.1
2013-07-09,17.6,15.9,24.0,72.1,15.5,0.001,224.4,72.2,72.1
2013-07-10,14.1,18.4,24.0,155.0,32.9,0.0,275.2,77.1,68.8
2013-07-11,8.4,21.0,22.5,181.5,28.4,3.965,197.2,95.8,89.4
2013-07-12,5.7,19.0,23.8,352.6,20.5,0.0,319.2,67.7,73.2
2013-07-13,5.1,18.3,21.1,207.2,14.5,0.041,359.6,58.4,70.8
2013-07-14,10.1,23.7,24.0,244.8,19.9,0.0,321.7,53.4,61.7
2013-07-15,11.7,25.8,24.0,246.7,20.5,0.0,333.0,42.7,59.3
2013-07-16,9.6,20.3,24.0,22.5,33.2,0.0,327.9,66.8,66.2
2013-07-17,16.1,18.4,23.6,201.5,29.3,0.041,293.4,58.7,66.9
2013-07-18,19.4,20.1,23.5,278.7,26.2,4.27,302.2,65.1,76.5
2013-07-19,26.8,17.3,22.6,162.4,31.2,1.016,173.3,81.6,84.1
2013-07-20,15.9,24.6,21.8,236.0,31.5,0.003,257.0,63.8,74.2
2013-07-21,9.2,18.9,24.0,290.3,20.4,0.0,342.7,60.2,66.7
2013-07-22,10.0,19.3,24.0,230.4,16.5,0.0,304.0,48.6,62.6
2013-07-23,6.5,18.9,19.7,150.8,29.1,23.733,141.8,79.9,72.9
2013-07-24,6.2,22.3,22.9,207.2,29.0,14.656,224.3,88.5,87.0
2013-07-25,1.9,18.1,23.3,2.7,20.4,0.003,173.0,84.5,85.9
2013-07-26,6.8,21.6,14.9,140.9,24.7,16.628,173.2,94.6,89.8
2013-07-27,7.2,20.7,20.7,186.3,43.3,0.428,244.0,93.0,87.2
2013-07-28,4.9,16.3,23.5,324.6,20.2,0.386,222.5,94.9,87.9
2013-07-29,6.0,18.4,22.2,141.3,29.1,0.886,189.8,93.3,92.2
2013-07-30,7.7,21.2,20.2,193.0,18.1,0.015,144.2,93.0,89.2
2013-07-31,5.6,20.5,22.8,240.2,20.2,0.919,323.6,39.8,76.8
2013-08-01,10.1,21.3,24.0,216.4,17.8,0.0,256.6,61.5,70.2
2013-08-02,7.8,19.7,23.8,181.2,22.7,0.0,195.9,78.7,79.9
2013-08-03,12.2,20.0,22.3,215.0,24.4,3.197,281.9,78.9,83.9
2013-08-04,3.8,19.4,23.0,226.2,18.0,0.0,310.0,39.8,77.9
2013-08-05,3.1,17.3,24.0,251.6,16.3,12.053,260.6,61.7,87.1
2013-08-06,5.5,18.0,23.4,252.0,20.0,0.172,308.2,64.4,77.2
2013-08-07,2.8,19.6,24.0,216.0,20.0,0.0,316.3,25.2,70.0
2013-08-08,5.1,19.5,24.0,201.4,20.3,0.085,253.7,67.8,70.0
2013-08-09,9.0,19.9,21.7,183.1,25.5,15.996,141.2,97.8,87.9
2013-08-10,7.1,21.0,20.0,207.8,33.0,11.601,252.8,78.2,80.7
2013-08-11,3.2,18.7,24.0,261.9,30.4,0.0,316.1,20.4,61.8
