Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
2013-06-01,8.6,27.7,15.9,216.0,28.3,0.0,343.7,42.0,58.3
2013-06-02,5.4,27.2,15.9,209.6,31.3,0.328,300.5,48.4,61.5
2013-06-03,5.0,22.5,13.7,214.6,19.8,40.341,138.7,90.0,81.7
2013-06-04,1.7,19.7,16.0,319.4,23.0,0.0,364.8,43.9,39.9
2013-06-05,3.3,18.4,16.0,85.1,20.8,0.0,345.3,58.4,46.3
2013-06-06,4.3,17.9,14.9,128.0,18.6,2.175,249.7,78.2,74.7
2013-06-08,3.0,20.2,14.3,303.6,29.2,9.895,275.1,85.6,74.7
2013-06-09,8.7,22.9,16.0,273.5,18.9,0.0,316.0,54.7,60.1
2013-06-10,7.5,19.8,9.2,94.9,24.8,23.964,116.2,95.9,86.1
2013-06-11,3.6,23.1,13.4,256.7,35.6,4.973,317.5,84.0,73.3
2013-06-13,3.1,18.4,13.3,81.8,38.3,23.752,152.3,92.1,76.5
2013-06-14,4.1,16.7,14.7,351.8,32.7,12.162,265.8,80.1,73.5
2013-06-15,8.4,22.1,16.0,283.7,20.2,0.0,346.5,33.1,53.1
2013-06-16,10.3,23.2,15.9,237.9,30.3,0.0,260.4,65.3,56.2
2013-06-17,9.8,24.6,15.7,235.4,21.8,2.227,216.5,62.1,65.8
2013-06-18,10.8,22.1,14.1,30.2,19.8,3.77,100.1,69.1,76.8
2013-06-19,4.2,20.5,15.8,12.7,20.8,0.117,342.7,57.2,59.3
2013-06-20,5.1,21.4,16.0,196.5,22.0,0.0,354.0,21.4,54.7
2013-06-21,6.2,22.6,16.0,198.7,20.4,0.0,355.1,33.2,48.3
2013-06-22,6.4,23.0,16.0,197.7,22.5,0.0,349.1,65.4,53.9
2013-06-23,6.4,25.2,16.0,208.3,24.7,0.0,282.4,57.3,66.2
2013-06-24,7.9,27.7,15.7,243.3,25.1,0.0,228.6,61.6,64.6
2013-06-25,12.6,27.6,15.2,244.0,23.6,0.376,333.9,53.2,60.2
2013-06-26,7.3,26.5,15.7,255.9,21.3,1.338,285.0,72.4,64.6
