name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
queens,1/1/2013,-4.8,-12,-7.8,-10.1,-20,-14.4,-10.4,81.6,0.171,100,4.17,snow,0.3,7.2,70.8,27.2,267.1,996.7,68.8,19.9,41.1,3.5,2,,2013-01-01T07:55:31,2013-01-01T16:37:05,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/2/2013,-10.9,-16,-13.6,-19.9,-25.8,-22.9,-17.1,74.7,0.429,100,4.17,snow,0.2,7.5,66.6,28.8,277.5,997.3,86.8,8.9,30.9,2.6,1,,2013-01-02T07:55:30,2013-01-02T16:38:03,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/3/2013,-10.8,-13,-11.8,-17.4,-20.8,-19.7,-14.9,77.9,0,0,0,,0,7.6,46,27.4,269,1007.4,97.5,16.1,33.9,3,2,,2013-01-03T07:55:26,2013-01-03T16:39:03,0.72,Overcast,Cloudy skies throughout the day.,cloudy,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/4/2013,-3,-15,-10.2,-7.7,-22.7,-16.8,-12.3,84.5,0.136,100,12.5,snow,9.9,13.1,43.9,18.1,224.1,1006.1,81.6,18.9,50.1,4.3,3,,2013-01-04T07:55:19,2013-01-04T16:40:04,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/5/2013,-2.9,-12,-6.7,-6.1,-20.4,-13.1,-10.5,75.5,1.427,100,12.5,snow,1.2,18.3,51.3,33.2,288.8,1008.7,86.9,19,34.1,3,2,,2013-01-05T07:55:10,2013-01-05T16:41:08,0.79,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/6/2013,-7.8,-16,-11.1,-8,-21.7,-16.4,-13.8,80.3,0.721,100,20.83,snow,1.1,13,57.5,20.2,243,1018.2,74.9,17.9,26.4,2.3,1,,2013-01-06T07:54:58,2013-01-06T16:42:13,0.82,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/7/2013,-7,-15,-10.7,-10.8,-22.9,-17.9,-15.1,70.6,2.256,100,16.67,snow,0.7,10.2,36.7,23.8,301.4,1020.1,72.5,15.9,44.1,3.8,2,,2013-01-07T07:54:44,2013-01-07T16:43:20,0.86,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/8/2013,0.9,-16.2,-7,-4.4,-23.5,-13.4,-10.7,75,0.07,100,8.33,"rain,snow",7.6,12.4,46.4,31.3,219.4,1022.6,64.7,24,60.1,5.2,3,,2013-01-08T07:54:26,2013-01-08T16:44:29,0.89,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/9/2013,-1,-5.9,-3,-1,-10.6,-7.2,-5.6,82.8,0.002,100,4.17,snow,0.6,15.2,42.7,20.4,221.6,1023.5,43.7,22.4,80,6.8,4,,2013-01-09T07:54:06,2013-01-09T16:45:40,0.93,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/10/2013,1.1,-1,-0.1,-1.9,-8.7,-5.8,-1.8,88,4.633,100,29.17,"rain,snow",0.5,16,66,40.4,313.7,1009.8,100,17.5,38.4,3.3,2,,2013-01-10T07:53:44,2013-01-10T16:46:52,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/11/2013,-1,-5,-3.8,-8.9,-12,-10.7,-7.7,74.8,0.172,100,4.17,snow,0.1,16.2,64.8,42,346.3,1026.2,100,23.1,67.7,5.8,3,,2013-01-11T07:53:18,2013-01-11T16:48:05,0,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/12/2013,-2.1,-6.9,-3.8,-3,-9.7,-7.2,-5.7,86.6,0,0,0,,0,16.2,62.8,17.8,8.4,1023.6,91.5,24,63.6,5.4,3,,2013-01-12T07:52:50,2013-01-12T16:49:20,0.03,Overcast,Cloudy skies throughout the day.,cloudy,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/13/2013,2,-6,-0.9,2,-10.3,-3.6,-1.7,94.8,0,0,0,,0,15.4,,14.8,205.2,1018.7,88.4,15,15.6,1.3,1,,2013-01-13T07:52:20,2013-01-13T16:50:36,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/14/2013,7.1,2.1,4,4,-3.1,-0.2,3.6,97.6,0,0,0,,0,11.3,37.1,24,207.9,1012.3,88.1,10.5,37.3,3.3,2,,2013-01-14T07:51:47,2013-01-14T16:51:54,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/15/2013,2,-8.9,-4.1,-3,-13,-9,-10.2,62.8,0,0,0,,0,6.6,40.4,24.3,309.5,1021.4,44.9,24,93.5,8.1,4,,2013-01-15T07:51:11,2013-01-15T16:53:12,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/16/2013,-4,-9,-6.2,-9.3,-13.8,-11.3,-9.3,78.9,1.902,100,16.67,snow,2.4,7,46.4,18.1,189.8,1020.7,77.3,17.7,23.1,2.1,1,,2013-01-16T07:50:33,2013-01-16T16:54:32,0.16,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/17/2013,1.9,-12,-3.7,-2.9,-20.5,-9.8,-6,84.9,4.066,100,12.5,"rain,snow",1.4,9.7,58.6,33.3,231.9,1008.8,84.6,19.5,54.2,4.6,3,,2013-01-17T07:49:52,2013-01-17T16:55:53,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"CWBK,71702099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/18/2013,-13,-18.9,-15.3,-20.3,-26.4,-23.3,-19.7,69.2,0.009,100,12.5,snow,0,9.4,58.9,26.1,286.1,1019.5,62.4,22.8,23.3,2,1,,2013-01-18T07:49:09,2013-01-18T16:57:15,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
queens,1/19/2013,-3.1,-17.1,-10,-7.9,-26.3,-16.7,-14,73.8,2.104,100,12.5,snow,1.8,10,42.5,33,213.8,1021.3,65.9,15.8,26.6,2.4,1,,2013-01-19T07:48:24,2013-01-19T16:58:38,0.26,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CWBK,71702099999,71415099999,CAHR,71706099999,CWSD,CYYG,71350099999,71310099999"
